Date	Open	High	Low	Close	Volume
11.18.2015	727.58	741.41	727	740	1671588
11.19.2015	738.74	742	737.43	738.41	1327109
11.20.2015	746.53	757.92	743	756.6	2212302
11.23.2015	757.45	762.71	751.82	755.98	1414487
11.24.2015	752	755.28	737.63	748.28	2333130
11.25.2015	748.14	752	746.06	748.15	1122224
11.27.2015	748.46	753.41	747.49	750.26	838518
11.30.2015	748.81	754.93	741.27	742.6	2035261
12.01.2015	747.11	768.95	746.7	767.04	2129940
12.02.2015	768.9	775.96	758.96	762.38	2195686
12.03.2015	766.01	769	745.63	752.54	2590641
12.04.2015	753.1	768.49	750	766.81	2757283
12.07.2015	767.77	768.73	755.09	763.25	1812314
12.08.2015	757.89	764.8	754.2	762.37	1829475
12.09.2015	759.17	764.23	737	751.61	2699990
12.10.2015	752.85	755.85	743.83	749.46	1988380
12.11.2015	741.16	745.71	736.75	738.87	2224410
12.14.2015	741.79	748.73	724.17	747.77	2412497
12.15.2015	753	758.08	743.01	743.4	2666229
12.16.2015	750	760.59	739.44	758.09	1993251
12.17.2015	762.42	762.68	749	749.43	1553418
12.18.2015	746.51	754.13	738.15	739.31	3148743
12.21.2015	746.13	750	740	747.77	1525703
12.22.2015	751.65	754.85	745.53	750	1365520
12.23.2015	753.47	754.21	744	750.31	1566726
12.24.2015	749.55	751.35	746.62	748.4	527223
12.28.2015	752.92	762.99	749.52	762.51	1515716
12.29.2015	766.69	779.98	766.43	776.6	1765012
12.30.2015	776.6	777.6	766.9	771	1293521
12.31.2015	769.5	769.5	758.34	758.88	1500923
01.04.2016	743	744.06	731.26	741.84	3258199
01.05.2016	746.45	752	738.64	742.58	1950691
01.06.2016	730	747.18	728.92	743.62	1947034
01.07.2016	730.31	738.5	719.06	726.39	2963741
01.08.2016	731.45	733.23	713	714.47	2450857
01.11.2016	716.61	718.86	703.54	716.03	2090621
01.12.2016	721.68	728.75	717.32	726.07	2024509
01.13.2016	730.85	734.74	698.61	700.56	2468295
01.14.2016	705.38	721.92	689.1	714.72	2211853
01.15.2016	692.29	706.74	685.37	694.45	3592449
01.19.2016	703.3	709.98	693.41	701.79	2258479
01.20.2016	688.61	706.85	673.26	698.45	3439386
01.21.2016	702.18	719.19	694.46	706.59	2410263
01.22.2016	723.6	728.13	720.12	725.25	2006528
01.25.2016	723.58	729.68	710.01	711.67	1704641
01.26.2016	713.85	718.28	706.48	713.04	1324300
01.27.2016	713.67	718.24	694.39	699.99	2139970
01.28.2016	722.22	733.69	712.35	730.96	2658016
01.29.2016	731.53	744.99	726.8	742.95	3394935
02.01.2016	750.46	757.86	743.27	752	4801816
02.02.2016	784.5	789.87	764.65	764.65	6332431
02.03.2016	770.22	774.5	720.5	726.95	6162333
02.04.2016	722.81	727	701.86	708.01	5145855
02.05.2016	703.87	703.99	680.15	683.57	5069985
02.08.2016	667.85	684.03	663.06	682.74	4212541
02.09.2016	672.32	699.9	668.77	678.11	3604335
02.10.2016	686.86	701.31	682.13	684.12	2627379
02.11.2016	675	689.35	668.87	683.11	3007223
02.12.2016	690.26	693.75	678.6	682.4	2129831
02.16.2016	692.98	698	685.05	691	2497024
02.17.2016	699	709.75	691.38	708.4	2466808
02.18.2016	710	712.35	696.03	697.35	1859130
02.19.2016	695.03	703.08	694.05	700.91	1582260
02.22.2016	707.45	713.24	702.51	706.46	1946067
02.23.2016	701.45	708.4	693.58	695.85	1999699
02.24.2016	688.92	700	680.78	699.56	1958611
02.25.2016	700.01	705.98	690.58	705.75	1631855
02.26.2016	708.58	713.43	700.86	705.07	2239978
02.29.2016	700.32	710.89	697.68	697.77	2280280
03.01.2016	703.62	718.81	699.77	718.81	2147442
03.02.2016	719	720	712	718.85	1627753
03.03.2016	718.68	719.45	706.02	712.42	1956761
03.04.2016	714.99	716.49	706.02	710.89	1967873
03.07.2016	706.9	708.09	686.9	695.16	2985094
03.08.2016	688.59	703.79	685.34	693.97	2063357
03.09.2016	698.47	705.68	694	705.24	1418704
03.10.2016	708.12	716.44	703.36	712.82	2829412
03.11.2016	720	726.92	717.12	726.82	1963907
03.14.2016	726.81	735.5	725.15	730.49	1716910
03.15.2016	726.92	732.29	724.77	728.33	1720965
03.16.2016	726.37	737.47	724.51	736.09	1572329
03.17.2016	736.45	743.07	736	737.78	1856800
03.18.2016	741.86	742	731.83	737.6	2796376
03.21.2016	736.5	742.5	733.52	742.09	1831839
03.22.2016	737.46	745	737.46	740.75	1264396
03.23.2016	742.36	745.72	736.15	738.06	1421861
03.24.2016	732.01	737.75	731	735.3	1564782
03.28.2016	736.79	738.99	732.5	733.53	1299812
03.29.2016	734.59	747.25	728.76	744.77	1902128
03.30.2016	750.1	757.88	748.74	750.53	1780998
03.31.2016	749.25	750.85	740.94	744.95	1712375
04.01.2016	738.6	750.34	737	749.91	1574870
04.04.2016	750.06	752.8	742.43	745.29	1131843
04.05.2016	738	742.8	735.37	737.8	1129829
04.06.2016	735.77	746.24	735.56	745.69	1050193
04.07.2016	745.37	747	736.28	740.28	1429504
04.08.2016	743.97	745.45	735.55	739.15	1285755
04.11.2016	743.02	745	736.05	736.1	1211762
04.12.2016	738	743.83	731.01	743.09	1349734
04.13.2016	749.16	754.38	744.26	751.72	1707095
04.14.2016	754.01	757.31	752.7	753.2	1130971
04.15.2016	753.98	761	752.69	759	1800413
04.18.2016	760.46	768.05	757.3	766.61	1555953
